Symbol,Company Name,Industry,Market Cap
ADTN,ADTRAN,Communications Equipment,973
ADTX,Aditx,Biotechnology,16
ADUS,Addus HomeCare,Health Care Providers & Services,1300
ADV,Advantage Solutions,Advertising Agencies,1830
ADVM,Adverum Biotechnologies,Biotechnology,127
ADXN,Addex Therapeutics,Biotechnology,33
ADXS,Advaxis,Biotechnology,16
AE,Adams Resources & Energy,"Oil, Gas & Consumable Fuels",155
AEAC,Authentic Equity Acquisition,Blank Check / SPAC,293
AEAE,AltEnergy Acquisition,Blank Check / SPAC,248
AEE,Ameren,Multi-Utilities,23070
AEG,Aegon,Insurance,8780
AEHA,Aesther Healthcare Acquisition,Blank Check / SPAC,133
AEHL,Antelope Enterprise Holdings,Building Products & Equipment,6
AEHR,Aehr Test Systems,Semiconductors & Semiconductor Equipment,332
AEI,Alset EHome International,Real Estate-Development,32
AEIS,Advanced Energy Industries,Semiconductors & Semiconductor Equipment,3100
AEL,American Equity Investment Life Holding Company,Insurance,3530
AEM,Agnico Eagle Mines,Metals & Mining,25770
AEMD,Aethlon Medical,Health Care Equipment & Supplies,18
AENZ,Aenza,Engineering & Construction,305
AEO,American Eagle Outfitters,Specialty Retail,3050
AEP,American Electric Power Company,Electric Utilities,48570
AER,AerCap Holdings,Trading Companies & Distributors,12280
AERC,AeroClean Technologies,Pollution & Treatment Controls,54
AERI,Aerie Pharmaceuticals,Pharmaceuticals,402
AES,The AES Corporation,Independent Power and Renewable Elect...,14560
AESE,Allied Esports Entertainment,"Hotels, Restaurants & Leisure",70
AEVA,Aeva Technologies,Auto Parts,756
AEY,ADDvantage Technologies Group,"Electronic Equipment, Instruments & C...",16
AEYE,AudioEye,Software,61
AEZS,AEterna Zentaris,Biotechnology,43
AFAC,Arena Fortify Acquisition,Blank Check / SPAC,215
AFAQ,AF Acquisition,Blank Check / SPAC,272
AFBI,Affinity Bancshares,Banks,106
AFCG,AFC Gamma,REIT-Specialty,385
AFG,American Financial Group,Insurance,11690
AFI,Armstrong Flooring,Building Products,31
AFIB,Acutus Medical,Medical Devices,45
AFL,Aflac,Insurance,39060
AFMD,Affimed,Biotechnology,518
AFRM,Affirm Holdings,IT Services,10190
AFTR,AfterNext HealthTech Acquisition,Blank Check / SPAC,302
AFYA,Afya Limited,Diversified Consumer Services,1100
AG,First Majestic Silver,Metals & Mining,3160
AGAC,African Gold Acquisition,Blank Check / SPAC,504
AGBA,AGBA Acquisition,Blank Check / SPAC,56
AGCB,Altimeter Growth 2,Blank Check / SPAC,572
