Symbol,Name,Exchange,AssetType,IpoDate,DelistingDate,Status
TQQQ,ProShares UltraPro QQQ,NASDAQ,ETF,2010-02-11,,Active
SOXL,Direxion Daily Semiconductor Bull 3X Shares,NYSE ARCA,ETF,2010-03-11,,Active
LABU,Direxion Daily S&P Biotech Bull 3X Shares,NYSE ARCA,ETF,2015-05-28,,Active
SQQQ,ProShares UltraPro Short QQQ,NASDAQ,ETF,2010-02-11,,Active
SOXS,Direxion Daily Semiconductor Bear 3X Shares,NYSE ARCA,ETF,2010-03-11,,Active
LABD,Direxion Daily S&P Biotech Bear 3X Shares,NYSE ARCA,ETF,2015-05-28,,Active
