Stock Name,NSE code,BSE code,ISIN,Current Price Rs,Industry Name,Industry Net Profit Growth Annual YoY %,PEG TTM PE to Growth,Net Profit Margin Annual %,Operating Profit Margin Annual %,Net Profit Annual YoY Growth %,Revenue Growth Annual YoY %,10Yr High Rs,10Yr price change %,Industry PE TTM,Long Term Debt To Equity Annual,ROCE Annual 1Yr Ago %,ROCE Annual %,Market Capitalization in Cr,MACD,50Day EMA Rs,200Day EMA Rs,% Distance from 52week high,Previous Day RSI,RSI
Ceat Ltd.,CEATLTD,500878,INE482A01020,2256,Auto Tyres & Rubber Products,0.4,0.1,1.5,8.6,161.5,20.9,2642,2059.9,33.2,0.4,5.2,9.5,9125.7,-22.6,2273.3,1888.9,14.6,42.3,41.8
Central Bank of India,CENTRALBK,532885,INE483A01010,35,Banks,41.1,0.2,6.3,23.3,56.1,15,123.2,-31.5,18.8,0.3,4.9,5.2,30339.9,1.3,31.9,28.1,16.4,67.5,62
Central Depository Services (India) Ltd.,CDSL,,INE736A01011,1141.4,Investment Companies,-22.6,-9.3,50.5,52.1,-11.3,2.5,1734.4,,34.8,,35.6,29,11928.2,-12.3,1151.2,1114,21.4,42.9,41.6
Centrum Capital Ltd.,CENTRUM,501150,INE660C01027,23.8,Other Financial Services,115.6,-0.2,-14,32.2,15.3,94.1,58.5,,27.7,6.3,1.9,7.6,992.2,0.4,22.9,22.2,21.3,51.5,52.4
Centum Electronics Ltd.,CENTUM,517544,INE320B01020,1652.4,Electronic Components,-17.4,0.8,0.6,8.4,132.1,17.9,1948.6,1821.3,144.4,0.3,11.6,11.6,2129,59.2,1422.2,1005.7,15.2,57.3,54.2
Century Enka Ltd.,CENTENKA,500280,INE485A01015,428.4,Textiles,-85.9,,4.4,6.8,,,675,328.8,31.3,,,8.2,936.1,0.1,423.5,415.9,12.6,53.4,51.4
Century Plyboards (India) Ltd.,CENTURYPLY,532548,INE348B01021,691.4,Forest Products,25.7,39,10.5,15.1,22.4,21.1,749,2745.3,54,,30,27,15361,8.6,639.5,589.2,2.6,70.6,70.5
Century Textiles & Industries Ltd.,CENTURYTEX,500040,INE055A01016,1072,Paper & Paper Products,167.6,3.7,5.6,10.9,63.3,15.6,1471.2,393.8,21.8,0.1,5.2,6.5,11974.3,15.2,959.3,831.9,3.2,60.6,57.2
Cera Sanitaryware Ltd.,CERA,532443,INE739E01017,9546.3,Furniture-Furnishing-Paints,21.2,2,11.7,15.9,38.6,25.2,9740,1888.6,63.5,,19.7,23.1,12415.8,415.8,8162.8,6898.1,2,77.4,79.8
Cerebra Integrated Technologies Ltd.,CEREBRAINT,532413,INE345B01019,5.8,Computer Hardware,-165.6,0.1,2.9,11.3,-90.8,-63.2,96.2,-29.3,113.8,,18.2,3.8,70.3,-0.3,5.9,14.4,88.8,45.1,52.3
