Stock Name,NSE code,BSE code,ISIN,Current Price Rs,Industry Name,Industry Net Profit Growth Annual YoY %,PEG TTM PE to Growth,Net Profit Margin Annual %,Operating Profit Margin Annual %,Net Profit Annual YoY Growth %,Revenue Growth Annual YoY %,10Yr High Rs,10Yr price change %,Industry PE TTM,Long Term Debt To Equity Annual,ROCE Annual 1Yr Ago %,ROCE Annual %,Market Capitalization in Cr,MACD,50Day EMA Rs,200Day EMA Rs,% Distance from 52week high,Previous Day RSI,RSI
Escorts Kubota Ltd.,ESCORTS,500495,INE042A01014,3133.9,Commercial Vehicles,145.2,3.5,7.6,8.9,-13.5,16.8,3343.8,3707.9,32.4,,13.4,10.8,34629.1,186.1,2598.8,2221.4,6.3,88.3,77.3
Ester Industries Ltd.,ESTER,500136,INE778B01029,95.8,Containers & Packaging,-54.8,-0.2,12.3,8.1,0.1,-20.4,190,981.9,27.8,0.7,18.2,4.4,798.5,-3.3,102.9,115.4,49.6,45.5,43.5
Ethos Ltd.,ETHOSLTD,543532,INE04TZ01018,1654.8,Specialty Retail,2213.6,0.7,7.6,14.2,157.8,36.1,1700,,68.3,,14.2,12.9,3863.9,43.1,1504.6,1248.8,2.7,61,64.5
Eureka Forbes Ltd.,543482,543482,INE0KCE01017,511.5,Consumer Electronics,-22.3,,1.3,6.9,921.8,445.4,598.8,,117,,0.2,1.9,9896.5,-7.6,517.7,478,14.6,45.7,43.6
Eveready Industries India Ltd.,EVEREADY,531508,INE128A01029,420.2,Non-Durable Household Prod.,32.3,-5,2.1,8.2,-40.6,10.3,464.2,2593.3,72.9,0.7,19.4,16.5,3054,22.3,363.2,337.2,4.9,73.2,70.2
Everest Industries Ltd.,EVERESTIND,508906,INE295A01018,1210,Cement & Cement Products,-27.3,-3.6,2.6,4,-3.9,21.1,1228.6,782.9,65.2,,11.3,11.4,1908.5,67.2,998.6,853,1.5,66.8,67.3
Everest Kanto Cylinder Ltd.,EKC,532684,INE184H01027,118,Other Industrial Products,16.5,-0.3,6,12.6,-71.3,-25.3,291.8,1473.3,64.1,,39.4,12.1,1324.1,-1.8,116,112.3,13.7,51.3,49
Excel Industries Ltd.,EXCELINDUS,500650,INE369A01029,947.8,Specialty Chemicals,-8.2,-0.3,7.4,11.5,-50.4,-7.6,1922.3,1423.7,65.2,,16.8,7.9,1191.4,5,912.4,981.1,39.8,58.3,61.7
Exide Industries Ltd.,EXIDEIND,500086,INE302A01020,265.8,Auto Parts & Equipment,-1.9,-0.3,5.4,10.4,-81.2,18.3,304.7,112.2,54.4,,9.2,10.3,22588.8,3.2,250.7,211.9,2.7,53.3,59.5
Expleo Solutions Ltd.,EXPLEOSOL,533121,INE201K01015,1356.4,IT Consulting & Software,10.3,0.3,14.8,21.8,148.4,125.3,1874,1477.3,36.4,,27.1,33.5,2105.2,-59.8,1498.7,1421.3,23.7,35.3,35.2
Exxaro Tiles Ltd.,EXXARO,543327,INE0GFE01018,144.2,Furniture-Furnishing-Paints,21.2,-1.3,2.3,10.5,-59.8,-2.1,172.7,,63.5,0.1,12.2,6.5,645.2,3.4,120.4,119,3.9,58.4,60.9
Fairchem Organics Ltd.,FAIRCHEMOR,543252,INE0DNW01011,1144.6,Commodity Chemicals,30.6,-1,6.7,11.1,-35.9,0.8,2449.9,,44.9,,38.2,23.5,1490.4,-9.4,1148.1,1249.5,53.3,57.6,57.8
Faze Three Ltd.,FAZE3Q,530079,INE963C01033,397,Textiles,-85.9,-18.7,10.4,16.7,14.1,10.2,434.7,10602.2,31.3,,26.2,24.2,965.6,3.7,375.8,344.7,8.5,59.1,56.6
FCS Software Solutions Ltd.,FCSSOFT,532666,INE512B01022,2.3,IT Consulting & Software,10.3,0.3,4.2,15,2896.6,1.7,8.3,1050,36.4,,1,1,393.2,,2.3,2.4,34.3,51.4,51.4
FDC Ltd.,FDC,531599,INE258B01022,380.4,Pharmaceuticals,6.1,1.2,10.9,13.7,-10.3,14.3,429,356.9,38.9,,14.6,12.9,6311.2,8.5,357.6,310.2,11.3,60.3,55
Federal Bank Ltd.,FEDERALBNK,500469,INE171A01029,143.8,Banks,41.1,0.2,17.8,25,60.7,22.7,146.4,461.3,18.8,1.2,5.4,5.8,33783,2.9,134.7,128.5,1.8,68.5,69.4
Federal-Mogul Goetze (India) Ltd.,FMGOETZE,505744,INE529A01010,364,Auto Parts & Equipment,-1.9,0.3,6.6,12.7,86.7,22.3,666.4,84.8,54.4,,8.6,13.2,2025,-1.4,363.8,336,8.9,47.8,48.4
Fermenta Biotech Ltd.,506414,506414,INE225B01021,158.6,Pharmaceuticals,6.1,,-15.3,5,-446.7,-12.1,442,370.9,38.9,0.3,8.8,-0.6,466.6,1,146.8,156.9,43.4,53.5,62.6
FIEM Industries Ltd.,FIEMIND,532768,INE737H01014,2004.6,Auto Parts & Equipment,-1.9,0.6,7.6,13.4,48.5,18,2087,996.3,54.4,,19.3,23.9,2638.1,9.5,1851.9,1722.3,3.9,56.8,54
Filatex India Ltd.,FILATEX,526227,INE816B01035,48.8,Textiles,-85.9,-0.4,2.1,5.4,-70.3,12.2,71.4,2972.3,31.3,0.2,31.4,11.8,2168.2,2.3,40.9,41.7,14.7,81.7,68.6
Fine Organic Industries Ltd.,FINEORG,541557,INE686Y01026,4817.4,Specialty Chemicals,-8.2,0.6,20.5,26.9,138.1,61.7,7328.8,,65.2,,36.3,54.9,14770.1,26.1,4655.3,4833.9,34.3,68.5,63.2
Fineotex Chemical Ltd.,FCL,533333,INE045J01026,313.2,Specialty Chemicals,-8.2,0.8,17.3,21.5,60.1,40.3,409,,65.2,,27.3,32.2,3468.1,3,289.6,272.5,23.4,68.2,66.3
Fino Payments Bank Ltd.,FINOPB,543386,INE02NC01014,355.6,Banks,41.1,0.8,68.6,5.3,52.3,21.9,583,,18.8,0.8,4.7,5.9,2958.7,15.7,318.6,267.4,6.3,65.5,61
Finolex Cables Ltd.,FINCABLES,500144,INE235A01022,1093.4,Other Electrical Equipment/Products,22,-2.2,9.7,11.1,-15.8,19.8,1140,2019,63.4,,11,12.5,16722.4,30.1,989.4,799.9,4.1,60.3,62.4
Finolex Industries Ltd.,FINPIPE,500940,INE183A01024,248,Plastic Products,-18.8,-0.8,5.1,6.5,-76.2,-4.5,250,1094.8,71.8,,24.7,6.3,15390.9,10.3,199.7,179,0.8,69.8,74
Firstsource Solutions Ltd.,FSL,532809,INE684F01012,167.8,BPO/KPO,-77.6,1.5,8.5,13.4,-4.4,3.9,242.8,1210.9,24,,17,16.9,11695.5,6.2,144.8,127.8,4,64.9,67.8
Five-Star Business Finance Ltd.,FIVESTAR,543663,INE128S01021,728.2,Finance (including NBFCs),56.2,,39.7,70.7,33.1,21.7,876.6,,27.2,,14.4,24.5,21224,12.3,715.1,,16.9,49.2,54.1
Forbes & Company Ltd.,FORBESGOK,502865,INE518A01013,660,Industrial Machinery,-23.6,-0.1,42.7,-2.7,-95.5,29.3,6774,25.7,50.3,0.1,23.3,76.1,851.3,0.2,657.5,709.2,20,52.9,48.7
Force Motors Ltd.,FORCEMOT,500033,INE451A01017,3496.6,Cars & Utility Vehicles,79.4,0.1,3,6.5,246.7,54.6,3663,,25.5,0.3,-3,6,4607.2,209.1,2836.5,1996,4.5,65.4,67.3
Fortis Healthcare Ltd.,FORTIS,532843,INE061F01013,324.4,Healthcare Facilities,17.7,1.1,9.7,17.3,6.1,10.7,352.5,240.9,63.6,0.1,7.5,7.7,24490.8,1.8,321.1,294.6,8,55.2,55
Foseco India Ltd.,FOSECOIND,500150,INE519A01011,3642.4,Commodity Chemicals,30.6,0.6,11.3,15.1,40.7,20.5,3930.6,693.6,44.9,,20.7,25.6,2326.2,178.8,3175.3,2566.1,7.3,65.7,63
FSN E-Commerce Ventures Ltd.,NYKAA,543384,INE388Y01029,135.4,Internet & Catalogue Retail,214.7,-37.4,0.5,4.9,-53.1,36.1,429,,1945,,5.6,6.4,38649,-2.6,139.4,155.1,42.5,44.6,40.3
Fusion Micro Finance Ltd.,FUSION,543652,INE139R01012,623.3,Finance (including NBFCs),56.2,,22.2,61.3,1679.6,49.8,691,,27.2,,22.6,49.2,6296.8,6.4,591.4,,9.8,55.3,57.4
Future Consumer Ltd.,FCONSUMER,533400,INE220J01025,0.8,Packaged Foods,42.6,,-87.2,-19.3,25.5,-72.8,79.1,-86.8,67.6,,-70.7,51.8,159.8,-0.1,0.8,1.3,67.3,46.5,51
G M Breweries Ltd.,GMBREW,507488,INE075D01018,598,Breweries & Distilleries,18.2,1.8,16.8,19.1,7,26.1,966.4,1841.7,78.7,,19.9,19.2,1093.1,1.6,588.8,585.4,9,55.6,54.3
G R Infraprojects Ltd.,GRINFRA,543317,INE201P01022,1275.1,Roads & Highways,102.4,0.3,15.3,26.7,74.8,12.2,2267.6,,25.7,0.8,16,20.7,12328.8,-4.5,1268.1,1224,10.7,53.1,46.8
Gabriel India Ltd.,GABRIEL,505714,INE524A01029,318,Auto Parts & Equipment,-1.9,1.1,4.4,7.1,47.9,26.8,328.3,1833.1,54.4,,16.2,20.1,4567.9,27.7,234.5,188.2,3.1,82.8,83
GAIL (India) Ltd.,GAIL,532155,INE129A01019,121.4,Utilities:Non-Electrical,-33.8,-0.3,2.8,5.1,-54.2,56.5,133.1,119,50.2,0.1,17.1,7.1,79788.8,0.9,113.3,105.8,1.3,53.3,49.8
Galaxy Surfactants Ltd.,GALAXYSURF,540935,INE600K01018,2669.4,Specialty Chemicals,-8.2,1.1,8.6,12.8,45,20.5,3585.6,,65.2,,19.7,24.1,9464.3,7.9,2650.3,2635.6,22.6,54.7,52.8
Gallantt Ispat Ltd.,GALLANTT,532726,INE297H01019,92.8,Iron & Steel/Interm.Products,-69.2,1.7,3.5,8.4,-19.9,32.2,97.4,415.6,43.5,,11.6,11.1,2239.1,3.2,79.3,67.6,4.7,55.3,65.2
Ganesh Benzoplast Ltd.,GANESHBE,500153,INE388A01029,172.6,Commodity Chemicals,30.6,0.3,13.1,20.4,68.5,19,184.4,,44.9,,15.3,18,1175.2,4.1,163.7,152.7,6.4,62,56.9
Ganesh Housing Corporation Ltd.,GANESHHOUC,526367,INE460C01014,428.2,Realty,30.1,0.1,16.6,40.6,44.8,61.3,492,1136.5,97.8,,14,21.4,3570.6,3.4,421.5,368.6,13,51.9,50.9
Ganesha Ecosphere Ltd.,GANECOS,514167,INE845D01014,1052.2,Textiles,-85.9,-1.2,5.9,10.7,12.1,16,1148,,31.3,0.5,10.9,11.3,2296.8,-1.1,1038.8,947.2,8.3,50,50.5
Garden Reach Shipbuilders & Engineers Ltd.,GRSE,542011,INE382Z01011,815.8,Shipping,180,2.3,8.9,5.4,20.4,44,843.9,,25.1,,19.3,20.3,9344.6,55,657.9,523.9,3.3,73.5,75.2
Garware Hi-Tech Films Ltd.,GRWRHITECH,500655,INE291A01017,1237,Containers & Packaging,-54.8,-2.9,11.6,15.3,-0.6,10.3,1264,,27.8,,13.3,12,2874,64.9,948.7,778.4,2.1,71.3,70.3
Garware Technical Fibres Ltd.,GARFIBRES,509557,INE276A01018,3187.2,Textiles,-85.9,2.2,13.2,17.2,4.5,9.8,4030,7683.3,31.3,,22.3,22.1,6495,13.7,3153,3096.5,15.1,54,52
Gateway Distriparks Ltd.,GATEWAY,543489,INE079J01017,86,Transportation - Logistics,-96.2,5.6,16.7,25.5,7.2,2.6,91.7,,72,0.2,13,13.2,4299.4,2.8,78.8,71.4,6.2,60.3,60.9
Gati Ltd.,GATI,532345,INE152B01027,147,Transportation - Logistics,-96.2,0.9,-0.6,4,-204.6,16,342,497.8,72,,1.8,3.9,1913.9,1.9,141.9,136.2,24.6,49.5,49.1
GE Power India Ltd.,GEPIL,532309,INE878A01011,174.9,Heavy Electrical Equipment,74.7,,-24.7,-17.4,-52.6,-31.7,1044.7,-42.9,80.4,,-7.7,-63.4,1175.8,-0.6,162.7,149.7,11.5,47.5,50.3
GE T&D India Ltd.,GET&D,522275,INE200A01026,316.1,Industrial Machinery,-23.6,0.7,,3.6,97,-9.2,659.9,120.7,50.3,,-11.4,6.6,8093.6,21.3,279,197,14.3,55.5,60.5
General Insurance Corporation of India,GICRE,540755,INE481Y01014,219.6,General Insurance,266.5,0.1,15.1,16.8,189.5,-11.3,449.5,,30.5,,6.4,11.9,38517.9,6.2,199.6,172.4,2.1,72.4,67.5
Genus Power Infrastructures Ltd.,GENUSPOWER,530343,INE955D01029,271.5,Other Electrical Equipment/Products,22,-14.5,3.7,9.6,-49.6,10.4,277,2788.3,63.4,,9.8,6.8,6994.9,21.5,189,127.6,2,67.9,71.4
Geojit Financial Services Ltd.,GEOJITFSL,532285,INE007B01023,57.8,Other Financial Services,115.6,-0.5,22,33,-35.5,-10.7,147,242.3,27.7,,26.4,15.6,1383.2,2.3,48.7,47.5,1.9,83.2,81.4
GFL Ltd.,GFLLIMITED,500173,INE538A01037,84,Holding Companies,56.5,,71124.8,23.3,2120.7,-99.5,1144,-66.6,25.7,,-1.7,,922.7,6.6,65.9,62.2,8.1,76.4,76.7
GIC Housing Finance Ltd.,GICHSGFIN,511676,INE289B01019,180.2,Housing Finance ,13681.1,-2.5,19.1,87.5,22.9,-2.4,623.4,120.5,15.7,,30.8,57.5,970.7,-2.5,183,173.3,27.3,44.3,43.6
Gland Pharma Ltd.,GLAND,543245,INE068V01023,1768.1,Pharmaceuticals,6.1,-1.2,21.5,26.5,-35.5,-16.4,4350,,38.9,,22.4,13.9,29120.7,91,1386.5,1478.1,32.2,65.2,74.6
GlaxoSmithKline Pharmaceuticals Ltd.,GLAXO,500660,INE159A01016,1438.3,Pharmaceuticals,6.1,-0.6,18.8,24,-63.6,,1936,22.4,38.9,,26.2,42,24365.7,3.9,1400.8,1370.2,2,52.1,58.8
Glenmark Life Sciences Ltd.,GLS,543322,INE03Q201024,631.8,Pharmaceuticals,6.1,1,21.6,29.3,11.5,2.4,799,,38.9,,28.4,28.6,7741.3,0.5,612.6,527.2,6.4,44.2,52.8
Glenmark Pharmaceuticals Ltd.,GLENMARK,532296,INE935A01035,757,Pharmaceuticals,6.1,-1.8,2.9,17.1,-68.4,6.7,1262.9,47,38.9,0.4,16.1,13.8,21361.5,1.5,735.6,589.2,9.5,47.2,51.2
Global Health Ltd.,MEDANTA,543654,INE474Q01031,706.8,Healthcare Facilities,17.7,,12.1,22.2,66.2,25.1,731.8,,63.6,0.3,13.2,14.9,18969.2,6,676.5,,3.4,55.5,58.2
Globus Spirits Ltd.,GLOBUSSPR,533104,INE615I01010,892.4,Breweries & Distilleries,18.2,-0.8,5.8,11.6,-34.7,33.5,1759.5,1084.3,78.7,0.1,29.9,17.5,2570.4,-52.9,1026.7,989.1,32.8,32.3,31.1
GMM Pfaudler Ltd.,GMMPFAUDLR,505255,INE541A01023,1670.3,Industrial Machinery,-23.6,1.1,6.7,13.4,95.9,26.8,2300,,50.3,0.8,9.5,18.5,7509.2,24.1,1502,1536.7,20.8,62.3,64.4
GMR Airports Infrastructure Ltd.,GMRINFRA,532754,INE776C01039,63,Construction & Engineering,43.8,-5.7,-13.8,23.6,82.5,47,66.8,359.5,32.4,-35.5,5.1,3.6,37996.3,3.5,51.8,44.6,5.7,67.4,70.2
GMR Power and Urban Infra Ltd.,GMRP&UI,543490,INE0CU601026,28.4,Electric Utilities,15.7,,7.2,6.4,282.7,37.6,48,,44.8,-2.5,10,14,1717.2,1.4,21.3,20.8,20.9,65.6,66
GNA Axles Ltd.,GNA,540124,INE934S01014,545.6,Auto Parts & Equipment,-1.9,0.1,8.2,14.7,46.7,24.7,555.8,,54.4,,20.5,24.9,1171,19.2,950,827.5,1.5,52.5,61
Go Fashion (India) Ltd.,GOCOLORS,543401,INE0BJS01011,1352.5,Other Apparels & Accessories,14.9,12.2,12.4,31.3,132.6,60.4,1453,,72.8,,11.5,17.1,7304.7,31,1208.6,1133.8,6.9,74.8,80.4
GOCL Corporation Ltd.,GOCLCORP,506480,INE077F01035,431.5,Oil Marketing & Distribution,-50.2,-0.3,22.9,-1.5,19.9,126.4,699.6,564.4,10.9,0.8,4.4,17.4,2139.1,10.7,393.5,344.4,9.7,59.8,57.3
Godawari Power & Ispat Ltd.,GPIL,532734,INE177H01021,621.6,Iron & Steel/Interm.Products,-69.2,-0.2,13.7,19.3,-45.9,7.9,629,3393.8,43.5,,48.9,26.4,8449.7,15.1,543.9,434.2,1.2,59.8,67.4
Godfrey Phillips India Ltd.,GODFRYPHLP,500163,INE260B01028,2132.4,Cigarettes-Tobacco Products,26.3,0.2,17,21.5,57.6,33.2,2252.2,295.8,27.2,,18.4,20.8,11086.9,74.9,1965.9,1761.8,5.3,61.3,60.2
Godrej Agrovet Ltd.,GODREJAGRO,540743,INE850D01014,480.6,Other Agricultural Products,8.9,-2,2.8,5.5,-25,13.1,746.8,,33.2,,19.4,14.3,9238.6,1.2,473.2,465.3,13.8,52.2,50.4
Godrej Consumer Products Ltd.,GODREJCP,532424,INE102D01028,1005.4,Personal Products,6.7,-27.2,12.8,18,-4.5,9,1138,272.4,57.5,,18.7,16.6,102823,-5.3,1030.7,978.5,8.8,45.9,40.9
Godrej Industries Ltd.,GODREJIND,500164,INE233A01035,537,Diversified,47.7,0.8,6.1,8.5,49.1,17.9,699,127.9,19.5,0.9,9,10.2,18078.5,12.1,496.5,470.2,3.8,61.4,67.2
Godrej Properties Ltd.,GODREJPROP,533150,INE484J01027,1643.6,Realty,30.1,1,29.4,8.1,62.2,17.5,2598,735.5,97.8,,8.9,10.8,45698.3,13,1568.3,1419.9,7.1,62.2,59.3
Gokaldas Exports Ltd.,GOKEX,532630,INE887G01027,770.8,Textiles,-85.9,6.3,7.8,12,47.7,24.8,882.4,2604.7,31.3,,19.2,22.5,4675.3,63,551,448.2,12.6,92,75
Goldiam International Ltd.,GOLDIAM,526729,INE025B01025,126.2,Other Apparels & Accessories,14.9,-0.8,16,18.7,-19.7,-22.2,229.8,3237.3,72.8,,28.1,19.6,1347.2,-0.6,128.5,135.1,29.5,51,46.6
Goodluck India Ltd.,GOODLUCK,530655,INE127I01024,577.9,Iron & Steel Products,7.9,1.1,2.8,6.6,17.1,17.9,605,,45.6,0.1,25.4,24.9,1575.1,26,510.5,455.6,4.5,67.7,66
Goodyear India Ltd.,GOODYEAR,500168,INE533A01012,1358.8,Auto Tyres & Rubber Products,0.4,2.7,4.2,7,19.4,19.7,1451,,33.2,,18.9,26.4,3134.2,5.8,1330.5,1193.1,6.4,49.5,52.2
Granules India Ltd.,GRANULES,532482,INE101D01020,302.3,Pharmaceuticals,6.1,4.2,11.4,20.2,25.2,19.6,438,2250.7,38.9,0.1,20.2,24,7317,-2.7,302,302.6,20.7,49.4,44.7
Graphite India Ltd.,GRAPHITE,509488,INE371A01025,476.6,Other Industrial Goods,-9.1,-1,6.2,9.4,-60.5,-0.2,1127,576.9,39.6,,14,7.6,9310.6,14.6,425.1,383.8,2.2,66.5,66.9
Grasim Industries Ltd.,GRASIM,500300,INE047A01021,1811.5,Cement & Cement Products,-27.3,-1.1,9.2,17.8,-9.6,25.6,1929.8,300.8,65.2,0.8,7.4,7.7,119278,-3.1,1790.9,1720.6,3,51.2,46.4
Grauer & Weil (India) Ltd.,GRAUWEIL,505710,INE266D01021,137.4,Commodity Chemicals,30.6,0.7,11.5,15.5,43.4,28,143,,44.9,,16.9,21.1,3116.1,6.1,120,104.5,3.9,64.1,66.4
Gravita India Ltd.,GRAVITA,533282,INE024L01027,783.8,Other Non-Ferrous Metals,31.9,0.8,7.3,6.8,44.3,30.1,795.8,3112.1,24,0.2,37.5,37.4,5410.8,26.1,682.2,549.6,1.5,73,79.9
Great Eastern Shipping Company Ltd.,GESHIP,500620,INE017A01032,768.2,Shipping,180,,45.2,50.7,308.9,68.2,834.3,203.9,25.1,0.3,7.9,21,10967.4,-0.6,754.7,671.2,7.9,47.8,50
Greaves Cotton Ltd.,GREAVESCOT,501455,INE224A01026,148.8,Auto Parts & Equipment,-1.9,,2.8,4.8,321,59.7,258.9,153.4,54.4,,-0.9,7.2,3451,2.1,137.6,140.3,19.4,63.8,71.2
Greenlam Industries Ltd.,GREENLAM,538979,INE544R01021,443.6,Furniture-Furnishing-Paints,21.2,1.1,6.3,11.4,41.5,19.5,519,,63.5,0.4,15.4,13.5,5634,-2.4,443.7,380.3,14.5,44.9,41.5
Greenpanel Industries Ltd.,GREENPANEL,542857,INE08ZM01014,381.5,Forest Products,25.7,-0.9,14.4,23.1,6.7,10.3,625.7,,54,0.1,29.7,24.7,4678.2,7.3,344.2,341,16.9,64.7,70
Greenply Industries Ltd.,GREENPLY,526797,INE461C01038,163.4,Forest Products,25.7,-0.8,6.1,9.1,-3.5,18.3,401.1,106.7,54,0.8,19.2,12.4,2015.9,-1.8,166.7,163.2,21,37.3,40.2
Grindwell Norton Ltd.,GRINDWELL,506076,INE536A01023,2251,Other Industrial Products,16.5,5.2,14.3,19.2,22.4,25.7,2495,1895.6,64.1,,24.6,26.1,24923.6,3.7,2215.2,2055,9.8,47.8,53.3
GRM Overseas Ltd.,GRMOVER,531449,INE192H01020,183.6,Other Agricultural Products,8.9,-0.7,4.6,7.1,-25,18.9,498,,33.2,,60.6,38.5,1101.9,2.6,179.7,255.8,63.1,56.8,53.6
GTL Infrastructure Ltd.,GTLINFRA,532775,INE221H01019,0.8,Telecom Equipment,-62.6,0.1,-124.6,1.9,-23.2,0.6,8.6,-55.9,44,,3.7,11.4,960.5,,0.8,0.9,58.3,38.6,38.6
GTPL Hathway Ltd.,GTPL,540602,INE869I01013,153.8,Broadcasting & Cable TV,-86.8,-0.4,4.6,17.2,-42.9,10.5,313.9,,32.1,,25.4,14.7,1730.2,6.1,135.2,129.9,19.9,67,66.6
Gufic BioSciences Ltd.,GUFICBIO,509079,INE742B01025,323.3,Pharmaceuticals,6.1,-5.3,11.5,19.4,-16.8,-11.4,333,7005.5,38.9,0.5,39.4,20.1,3134.2,13.8,258.3,228.4,2.9,66.8,69.8
Gujarat Alkalies & Chemicals Ltd.,GUJALKALI,530001,INE186A01019,732,Commodity Chemicals,30.6,-0.4,12.7,24.5,-26.8,19.8,1044.7,386.5,44.9,0.1,11.5,11.7,5375.2,6,663.7,687.7,26,67.8,68.3
Gujarat Ambuja Exports Ltd.,GAEL,524226,INE036B01030,260.6,Edible Oils,-15.9,-0.5,6.7,9.5,-30.6,5.5,394.2,2493.5,99.5,,29.4,18.1,5977.6,3.3,250.4,250.1,18.2,63.1,61.6
Gujarat Fluorochemicals Ltd.,FLUOROCHEM,542812,INE09N301011,3073.6,Specialty Chemicals,-8.2,0.9,23.3,35.4,68.8,40.4,4174,,65.2,,22.6,31.5,33762.9,44.4,2909.5,3035.4,26.4,65.8,66.4
Gujarat Gas Ltd.,GUJGASLTD,539336,INE844O01030,458,Utilities:Non-Electrical,-33.8,1.7,9.1,14.2,18.7,1.9,786,1078,50.2,,25.2,25.4,31528.3,-4.1,464.5,480,15,42.1,38.7
Gujarat Industries Power Company Ltd.,GIPCL,517300,INE162A01010,128.5,Electric Utilities,15.7,-1.4,13.9,29.1,10.1,17.6,150.8,130.9,44.8,0.1,6.8,6.9,1943.6,2.4,112,96.7,2.1,59.8,59.9
Gujarat Mineral Development Corporation Ltd.,GMDCLTD,532181,INE131A01031,249.3,Coal,65.4,0.1,34.6,34.6,200.2,34.8,265,200.9,5.3,,13.4,25.8,7927.7,19.7,188.3,162.5,5.9,80.1,77.2
Gujarat Narmada Valley Fertilizers & Chemicals Ltd.,GNFC,500670,INE113A01013,623.4,Fertilizers,13,-0.2,14.3,17.7,-13.9,19.6,912,928.7,26.3,,24.6,18.6,9688.8,4.4,577.3,583.6,21,66.2,67.7
Gujarat Pipavav Port Ltd.,GPPL,533248,INE517F01014,130,Marine Port & Services,10.9,0.4,31.8,51.9,58.7,25.4,261.9,203.3,27.4,,12.6,16.9,6282.3,1.6,120,109.6,3,68.7,66.4
Gujarat State Fertilizer & Chemicals Ltd.,GSFC,500690,INE026A01025,177.6,Fertilizers,13,-1,11.1,13.8,40.9,24.3,198.8,261,26.3,,10.4,12.1,7077,2.7,162.4,150.8,3.2,69,70
Gujarat State Petronet Ltd.,GSPL,532702,INE246F01010,277.4,Utilities:Non-Electrical,-33.8,-1.7,12.9,20.2,0.2,0.8,379.2,457.5,50.2,,24.2,22.3,15648.4,-2.8,282.6,276.8,10.7,42.9,43.8
Gujarat Themis Biosyn Ltd.,GUJTHEMIS,506879,INE942C01029,803.4,Pharmaceuticals,6.1,1,38.9,47.9,32.9,30.4,921,6176.6,38.9,,56.8,51.4,1167.2,3.2,794.2,733.8,12.8,57,56.4
Gulf Oil Lubricants India Ltd.,GULFOILLUB,538567,INE635Q01029,585.1,Oil Marketing & Distribution,-50.2,0.1,7.7,11.3,10.1,36.2,1100,,10.9,,27.2,28.6,2871.2,16.5,541.6,474.8,9.2,54.2,52.5
Gulshan Polyols Ltd.,GULPOLY,532457,INE255D01024,222.2,Commodity Chemicals,30.6,-0.8,3.8,7.4,-46.8,7.6,354.2,,44.9,0.2,19.9,9.2,1385.9,1.3,219.3,217,19.2,55.5,53.3
Happiest Minds Technologies Ltd.,HAPPSTMNDS,543227,INE419U01012,924.7,IT Consulting & Software,10.3,3.9,16.2,24.7,27.5,28.3,1580,,36.4,0.1,34.6,31.8,14080.9,-5.2,919,912.3,15.4,46.3,55.3
Hariom Pipe Industries Ltd.,HARIOMPIPE,543517,INE00EV01017,630.4,Iron & Steel Products,7.9,0.7,7.2,12.7,44.6,48.7,695,,45.6,0.3,36.5,14.5,1741.1,8.1,597.7,500.2,9.3,63.7,65.4
Harsha Engineers International Ltd.,HARSHA,543600,INE0JUS01029,446.8,Iron & Steel Products,7.9,,9,13.6,34.1,4.1,527.6,,45.6,,22.2,16.6,4068.3,4,435.5,414.1,15.3,61.2,58.8
Hathway Cable & Datacom Ltd.,HATHWAY,533162,INE982F01036,16.9,Broadcasting & Cable TV,-86.8,-1.3,1.4,16.1,-49.8,4.7,76.4,-68.1,32.1,,2.5,1.4,2991.5,0.3,15.9,15.7,14,54.5,53.6
Hatsun Agro Products Ltd.,HATSUN,531531,INE473B01035,1180.8,Packaged Foods,42.6,-21.6,2.3,9.7,-23.9,13.8,1526,,67.6,0.5,19.8,13.7,26303.3,53.8,1063.7,967.6,4.2,74.1,66.9
Havells India Ltd.,HAVELLS,517354,INE176B01034,1377.8,Other Electrical Equipment/Products,22,-10.6,6.3,9.4,-10.4,21.2,1504.4,1043.6,63.4,,24.1,20.2,86340.1,11.6,1310.4,1266.5,2.2,60.3,65.7
Hawkins Cookers Ltd.,HAWKINCOOK,508486,INE979B01015,7000,Houseware,1.4,13.4,9.4,13.4,13,4.8,7015,314.4,72.2,0.1,46.9,43,3701.5,61,6668.9,6333.2,0.2,57.5,60.3
HBL Power Systems Ltd.,HBLPOWER,517271,INE292B01021,274.3,Other Electrical Equipment/Products,22,1.5,7.1,10.9,5.1,10.9,294.9,3350.3,63.4,,12.9,13.2,7603.5,24,210.4,143.8,7,62.8,65
HCL Infosystems Ltd.,HCL-INSYS,500179,INE236A01020,18,Computer Hardware,-165.6,0.5,-123.5,-134.1,-258.2,-50.6,94.5,-16.8,113.8,,31.1,20.1,594.2,0.5,16.6,15.4,13.2,56.6,55.6
HCL Technologies Ltd.,HCLTECH,532281,INE860A01027,1185.8,IT Consulting & Software,10.3,1.9,14.6,22,10,18.6,1377.8,355.9,36.4,,24.6,27.6,321786.4,6.6,1149.1,1108.6,1.4,55.7,56.3
HDFC Asset Management Company Ltd.,HDFCAMC,541729,INE127D01025,2431.2,Asset Management Cos.,-4.8,2,65.7,65.2,2.2,2,3844,,27.8,,32.9,30,51903.3,29.5,2379.6,2126.6,7.9,52.8,55.8
