Symbol	Company Name	Industry	Market Cap
A	Agilent Technologies	Life Sciences Tools & Services	
40.22B
AA	Alcoa	Metals & Mining	
16.81B
AAC	Ares Acquisition	Blank Check / SPAC	
1.47B
AACG	ATA Creativity Global	Diversified Consumer Services	
38.27M
AACI	Armada Acquisition I	Blank Check / SPAC	
203.16M
AADI	Aadi Bioscience	Biotechnology	
353.74M
AAIC	Arlington Asset Investment	Mortgage Real Estate Investment Trust...	
110.18M
AAL	American Airlines Group	Airlines	
9.87B
AAMC	Altisource Asset Management	Real Estate Management & Development	
36.79M
AAME	Atlantic American	Insurance	
50.74M
AAN	The Aaron's Company	Specialty Retail	
692.98M
AAOI	Applied Optoelectronics	Communications Equipment	
96.41M
AAON	AAON, Inc.	Building Products	
2.93B
AAP	Advance Auto Parts	Specialty Retail	
12.62B
AAPL	Apple	Technology Hardware, Storage & Periph...	
2,668.12B
AAQC	Accelerate Acquisition	Blank Check / SPAC	
485.50M
AAT	American Assets Trust	Equity Real Estate Investment Trusts ...	
2.88B
AATC	Autoscope Technologies	Scientific & Technical Instruments	
35.51M
AAU	Almaden Minerals	Metals & Mining	
40.59M
AAWW	Atlas Air Worldwide Holdings	Air Freight & Logistics	
2.41B
AB	AllianceBernstein Holding	Capital Markets	
4.29B
ABB	ABB Ltd	Electrical Equipment	
62.52B
ABBV	AbbVie	Biotechnology	
266.30B
ABC	AmerisourceBergen	Health Care Providers & Services	
30.81B
ABCB	Ameris Bancorp	Banks	
3.26B
ABCL	AbCellera Biologics	Biotechnology	
2.42B
ABCM	Abcam	Biotechnology	
3.72B
ABEO	Abeona Therapeutics	Biotechnology	
39.87M
ABEV	Ambev	Beverages	
44.87B
ABG	Asbury Automotive Group	Specialty Retail	
4.43B
ABGI	ABG Acquisition I	Blank Check / SPAC	
188.49M
ABIO	ARCA biopharma	Biotechnology	
29.54M
ABM	ABM Industries	Commercial Services & Supplies	
3.14B
ABMD	Abiomed	Health Care Equipment & Supplies	
14.28B
ABNB	Airbnb	Hotels, Restaurants & Leisure	
95.27B
ABOS	Acumen Pharmaceuticals	Biotechnology	
202.76M
ABR	Arbor Realty Trust	Mortgage Real Estate Investment Trust...	
2.69B
ABSI	Absci	Biotechnology	
794.44M
ABST	Absolute Software	Software-Application	
438.28M
